county,lon,lat,smat_2004,smat_2005,smat_2006,smat_2007,smat_2008,smat_2009,smat_2010,smat_2011,smat_2012,smat_2013,smat_2014,smat_2015,smat_2016
Doddridge County,-84.57557,39.43863,0,0,0,0,0,0,0,0,0,0,0,0,0
Fayette County,-82.68778,38.35956,0,0,0,0,0,0,0,0,0,1,1,1,1
Gilmer County,-80.85706,38.92405,0,0,0,0,0,0,0,0,0,0,0,0,0
Grant County,-79.1956,39.10514,0,0,0,0,0,0,0,0,0,0,0,0,0
Greenbrier County,-84.15183,39.04748,0,0,0,1,1,1,1,1,1,1,1,2,2
Hampshire County,-83.80837,39.41498,0,0,0,0,0,0,0,0,0,0,0,0,0
Hancock County,-80.5739,40.52186,0,0,0,0,0,0,0,0,0,0,0,0,2
Hardy County,-78.85795,39.00753,0,0,0,0,0,0,0,0,0,0,0,0,0
Harrison County,-82.91978,40.85077,1,1,0,0,1,1,1,1,1,1,2,2,3
Jackson County,-81.6748,38.83447,0,0,0,0,0,0,0,0,0,0,0,0,0
Jefferson County,-84.37952,38.94651,0,0,0,0,0,0,0,0,0,0,0,1,1
Kanawha County,-88.97098,36.8532,0,1,1,1,1,3,3,4,4,5,5,5,6
Lewis County,-83.00487,40.2784,0,0,0,0,0,0,0,0,0,0,0,0,0
Lincoln County,-82.07039,38.17535,0,0,0,0,0,0,0,0,0,0,0,0,0
Logan County,-82.63058,39.75163,0,0,0,0,0,0,1,1,1,2,1,1,1
Marion County,-83.0093,39.96954,0,0,0,0,0,0,0,0,0,0,0,1,1
Marshall County,-83.71466,37.15971,0,0,0,0,0,0,0,0,0,1,1,0,1
Mason County,-82.02656,38.76972,0,0,0,0,0,0,0,0,1,1,1,1,0
McDowell County,-83.45609,39.55988,0,0,0,0,0,0,0,0,0,0,1,0,0
Mercer County,-81.17866,41.49953,0,0,0,1,0,0,0,0,0,1,1,2,2
Mineral County,-85.38851,36.7866,0,0,0,0,0,0,0,0,0,0,0,0,0
Mingo County,-87.08723,37.73185,0,1,1,1,1,1,1,1,1,2,2,2,3
Monongalia County,-86.23842,37.2088,0,0,0,0,2,3,3,2,2,3,3,3,3
Monroe County,-80.5505,37.56038,0,0,0,0,0,0,0,0,0,0,0,0,1
Morgan County,-83.65943,40.66152,0,0,0,0,0,0,0,0,0,0,0,0,1
Nicholas County,-81.09112,40.29383,0,0,0,1,1,1,1,1,1,1,1,1,1
Ohio County,-80.61892,40.09695,0,1,1,1,1,1,1,1,2,2,2,2,2
Pendleton County,-83.60098,39.18471,0,0,0,0,0,0,0,0,0,0,0,0,0
Pleasants County,-84.87705,38.23917,0,0,0,0,0,0,0,0,0,0,0,0,0
Pocahontas County,-81.92934,40.56121,0,0,0,0,0,1,1,1,1,1,1,1,1
Preston County,-79.66816,39.46933,0,0,0,0,0,0,0,0,0,0,0,0,0
Putnam County,-81.90899,38.50862,0,0,0,0,0,0,0,1,1,1,0,0,0
Raleigh County,-80.761,40.38501,0,0,1,1,1,1,1,1,2,2,2,2,2
