county,countyfp,lon,lat,ave_death_2004,smat_2004,ave_death_2005,smat_2005,ave_death_2006,smat_2006,ave_death_2007,smat_2007,ave_death_2008,smat_2008,ave_death_2009,smat_2009,ave_death_2010,smat_2010,ave_death_2011,smat_2011,ave_death_2012,smat_2012,ave_death_2013,smat_2013,ave_death_2014,smat_2014,ave_death_2015,smat_2015,ave_death_2016,smat_2016
Jessamine County,113,-84.29068,39.75458,10.95,0,12.95,0,12.95,0,14.95,0,14.95,0,16.95,0,16.95,0,18.95,0,18.95,0,20.95,0,20.95,0,22.95,0,24.95,0
Johnson County,115,-81.85267,39.62037,20.95,0,22.95,0,22.95,0,24.95,1,26.95,1,28.95,1,30,1,30,1,30,1,30,0,30,0,30,0,30,0
Kenton County,117,-84.53334,38.9334,16.95,0,18.95,0,18.95,0,20.95,0,22.95,0,22.95,0,24.95,0,26.95,0,28.95,1,28.95,1,30,2,30,2,30,3
Knott County,119,-81.94437,39.96544,22.95,0,22.95,0,24.95,0,26.95,1,28.95,1,30,1,30,0,30,0,30,0,30,1,30,0,30,0,30,0
Knox County,121,-81.45557,39.76594,16.95,0,18.95,0,18.95,0,20.95,0,22.95,0,22.95,0,24.95,0,26.95,0,28.95,1,30,1,30,1,30,1,30,1
Larue County,123,-83.14004,41.53772,4.95,0,4.95,0,4.95,0,6.95,0,6.95,0,8.95,0,8.95,0,8.95,0,10.95,0,10.95,0,12.95,0,12.95,0,14.95,0
Laurel County,125,-84.58021,41.11662,12.95,0,12.95,0,12.95,0,14.95,0,14.95,0,16.95,0,16.95,0,18.95,1,18.95,0,20.95,1,22.95,0,22.95,0,24.95,0
Lawrence County,127,-82.23613,39.73715,14.95,0,16.95,0,16.95,0,18.95,0,20.95,0,22.95,0,22.95,0,24.95,0,26.95,0,28.95,1,30,2,30,1,30,3
Lee County,129,-83.0244,39.64193,16.95,0,16.95,0,18.95,0,20.95,1,22.95,1,24.95,1,26.95,0,28.95,0,30,0,30,1,30,0,30,0,30,0
Leslie County,131,-83.06677,39.07732,20.95,0,22.95,0,24.95,0,26.95,1,28.95,1,30,1,30,0,30,0,30,0,30,1,30,0,30,0,30,0
Letcher County,133,-81.1974,41.16768,14.95,0,16.95,0,18.95,0,18.95,1,20.95,1,20.95,1,22.95,0,24.95,0,26.95,0,28.95,1,28.95,0,30,0,30,0
Lewis County,135,-84.64798,39.74153,8.95,0,10.95,0,10.95,0,12.95,0,12.95,0,14.95,0,14.95,0,16.95,0,18.95,0,18.95,0,20.95,0,22.95,0,24.95,1
